"Material Request","Shipping Core","Arrangement","Warehouse Origen","Warehouse Destino","Total Transfer Job","Transfer Job Cerradas","Transfer Job Pendientes","Qty total","Items en Delivered","Avance","Arrangement Status","MR creation","MR required by","Arr in progress","Fecha arr done","tiempo total MR (h)","tiempo operativo (h)"
"MAT-REQ-2026-3fa7bb38","Material Request-MAT-REQ-2026-3fa7bb38-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 8330f468","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,208,"","","In progress","2026-05-04 00:19:04.010165","2026-05-09","2026-05-04 00:19:35.172218","-","24.45","24.44"
"MAT-REQ-2026-4415a421","Material Request-MAT-REQ-2026-4415a421-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 20be82e6","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",205,"","","Cancelled","2026-04-21 00:15:45.712187","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-44fd21a3","Material Request-MAT-REQ-2026-44fd21a3-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - d23237fb","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",441,"","","Failed","2026-05-04 00:19:14.393517","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-47c0c5df","Material Request-MAT-REQ-2026-47c0c5df-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 932c224f","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",209,"","","Failed","2026-05-04 00:19:07.579280","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-4a09871f","Material Request-MAT-REQ-2026-4a09871f-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - a7d5b5c1","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",310,"","","Failed","2026-05-04 00:19:04.097113","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-4a3fa896","Material Request-MAT-REQ-2026-4a3fa896-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-28 00:00:00","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",53,"","","Cancelled","2026-04-23 00:15:43.194565","2026-04-28","","-","288.51","-"
"MAT-REQ-2026-4b1dd165","Material Request-MAT-REQ-2026-4b1dd165-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 02dad80c","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",263,"","","Cancelled","2026-04-21 00:15:55.885706","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-4bc52060","Material Request-MAT-REQ-2026-4bc52060-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 7e5124fd","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,156,"","","In progress","2026-05-04 00:19:10.010313","2026-05-09","2026-05-04 00:21:29.133535","-","24.45","24.41"
"MAT-REQ-2026-4d2e90c2","Material Request-MAT-REQ-2026-4d2e90c2-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - be6b93e0","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",237,"","","Failed","2026-05-04 00:19:14.707902","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-50a2b022","Material Request-MAT-REQ-2026-50a2b022-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-27 00:00:00 - 32903645","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",373,"","","Cancelled","2026-04-22 00:14:09.748106","2026-04-27","","-","312.53","-"
"MAT-REQ-2026-52cb12f1","Material Request-MAT-REQ-2026-52cb12f1-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 1526f4fd","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",589,"","","Failed","2026-05-04 00:19:06.525314","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-55352586","Material Request-MAT-REQ-2026-55352586-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 0943304e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,156,"","","In progress","2026-05-04 00:19:18.481662","2026-05-09","2026-05-04 00:26:13.326250","-","24.45","24.33"
"MAT-REQ-2026-56e9fb91","Material Request-MAT-REQ-2026-56e9fb91-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 251633c5","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",272,"","","Cancelled","2026-04-21 00:15:53.701477","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-59f2ea31","Material Request-MAT-REQ-2026-59f2ea31-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 1b837674","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",156,"","","Failed","2026-05-04 00:19:12.426692","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-5d0315e7","Material Request-MAT-REQ-2026-5d0315e7-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - fc40d46d","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",182,"","","Failed","2026-05-04 00:19:15.222401","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-5fa60fc2","Material Request-MAT-REQ-2026-5fa60fc2-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 2a678e6e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,16,10,203,126,62.07,"In progress","2026-04-21 00:15:59.100316","2026-04-26","2026-04-22 11:20:40.744198","-","336.50","301.42"
"MAT-REQ-2026-60c33ce0","Material Request-MAT-REQ-2026-60c33ce0-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 6d13481d","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,3,23,618,60,9.71,"In progress","2026-05-04 00:19:15.399789","2026-05-09","2026-05-04 00:27:44.795154","-","24.45","24.31"
"MAT-REQ-2026-68df73cc","Material Request-MAT-REQ-2026-68df73cc-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 2fc29c13","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",212,"","","Failed","2026-05-04 00:19:14.803060","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-6b070414","Material Request-MAT-REQ-2026-6b070414-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-05 00:00:00","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",1955,"","","Failed","2026-05-04 09:12:04.871493","2026-05-05","","-","15.57","-"
"MAT-REQ-2026-6c2f0b38","Material Request-MAT-REQ-2026-6c2f0b38-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-01 00:00:00","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",350,"","","Cancelled","2026-04-26 00:16:40.492376","2026-05-01","","-","216.49","-"
"MAT-REQ-2026-6f368888","Material Request-MAT-REQ-2026-6f368888-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 30d21b90","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,208,"","","Cancelled","2026-04-21 00:16:00.117534","2026-04-26","2026-04-21 00:26:53.494214","-","336.50","336.32"
"MAT-REQ-2026-6fb80f1a","Material Request-MAT-REQ-2026-6fb80f1a-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-22 00:00:00","MEX1 - LI - KSMV","MEX1 - D2C - KSMV","","","",223,"","","Cancelled","2026-04-21 09:48:15.885127","2026-04-22","","-","326.96","-"
"MAT-REQ-2026-708a3566","Material Request-MAT-REQ-2026-708a3566-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - d187fabd","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",242,"","","Failed","2026-05-04 00:19:07.302686","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-7212819b","Material Request-MAT-REQ-2026-7212819b-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 58f4269b","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",537,"","","Failed","2026-05-04 00:19:02.060944","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-76735bdc","Material Request-MAT-REQ-2026-76735bdc-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-03 00:00:00 - 75acac76","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",181,"","","Cancelled","2026-04-28 00:18:20.406396","2026-05-03","","-","168.46","-"
"MAT-REQ-2026-773447fb","Material Request-MAT-REQ-2026-773447fb-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-27 00:00:00 - acf9d0db","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",202,"","","Cancelled","2026-04-22 00:14:07.735881","2026-04-27","","-","312.53","-"
"MAT-REQ-2026-794adfb3","Material Request-MAT-REQ-2026-794adfb3-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 26c79188","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,226,"","","Cancelled","2026-04-21 00:15:58.331761","2026-04-26","2026-04-21 00:31:17.258430","-","336.50","336.25"
"MAT-REQ-2026-7a85c019","Material Request-MAT-REQ-2026-7a85c019-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 783ff8cd","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",313,"","","Cancelled","2026-04-21 00:15:52.304322","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-880066b4","Material Request-MAT-REQ-2026-880066b4-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - ca5c16fd","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",455,"","","Cancelled","2026-04-21 00:16:00.272262","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-895597aa","Material Request-MAT-REQ-2026-895597aa-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 4a168a36","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",650,"","","Cancelled","2026-04-21 00:15:54.712554","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-8a609011","Material Request-MAT-REQ-2026-8a609011-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 1f49ba66","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",319,"","","Failed","2026-05-04 00:19:08.122758","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-924ad468","Material Request-MAT-REQ-2026-924ad468-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - bfd48c1e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",262,"","","Cancelled","2026-04-21 00:16:01.332233","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-94526c66","Material Request-MAT-REQ-2026-94526c66-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 5ee166b0","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",163,"","","Failed","2026-05-04 00:19:11.839180","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-98710799","Material Request-MAT-REQ-2026-98710799-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-30 00:00:00","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",522,"","","Cancelled","2026-04-25 00:14:47.185339","2026-04-30","","-","240.52","-"
"MAT-REQ-2026-98cb0654","Material Request-MAT-REQ-2026-98cb0654-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 5967d029","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",250,"","","Cancelled","2026-04-21 00:15:53.338238","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-9af226dc","Material Request-MAT-REQ-2026-9af226dc-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 2c5fdbff","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",287,"","","Cancelled","2026-04-21 00:15:49.284809","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-a2a0b8d4","Material Request-MAT-REQ-2026-a2a0b8d4-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 1f1d9b9d","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",232,"","","Cancelled","2026-04-21 00:16:01.096860","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-a300e48f","Material Request-MAT-REQ-2026-a300e48f-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - b4cf7c0c","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",382,"","","Cancelled","2026-04-21 00:15:46.163582","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-a50fb50c","Material Request-MAT-REQ-2026-a50fb50c-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 49a494b6","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",184,"","","Cancelled","2026-04-21 00:15:58.671017","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-a510f5a9","Material Request-MAT-REQ-2026-a510f5a9-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-03 00:00:00","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",251,"","","Cancelled","2026-04-28 00:18:20.518885","2026-05-03","","-","168.46","-"
"MAT-REQ-2026-a63a2dcc","Material Request-MAT-REQ-2026-a63a2dcc-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 11697157","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",346,"","","Failed","2026-05-04 00:19:09.600859","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-a99c69d1","Material Request-MAT-REQ-2026-a99c69d1-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 8a6ed1bb","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,170,"","","In progress","2026-05-04 00:19:07.563988","2026-05-09","2026-05-04 00:22:42.839239","-","24.45","24.39"
"MAT-REQ-2026-ac2783ee","Material Request-MAT-REQ-2026-ac2783ee-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - d97317f5","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",234,"","","Cancelled","2026-04-21 00:15:49.180999","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-ac859004","Material Request-MAT-REQ-2026-ac859004-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 23b765d2","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",555,"","","Failed","2026-05-04 00:19:07.511549","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-aeafc117","Material Request-MAT-REQ-2026-aeafc117-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - eac5417e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",180,"","","Cancelled","2026-04-21 00:15:46.089285","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-b1060115","Material Request-MAT-REQ-2026-b1060115-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - b42cf9f9","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,4,22,398,64,16.08,"In progress","2026-05-04 00:19:17.916878","2026-05-09","2026-05-04 00:28:55.162746","-","24.45","24.29"
"MAT-REQ-2026-b2e4ac8f","Material Request-MAT-REQ-2026-b2e4ac8f-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - f590e27d","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",189,"","","Cancelled","2026-04-21 00:15:55.803677","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-b83e5565","Material Request-MAT-REQ-2026-b83e5565-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - c5746048","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,156,"","","Cancelled","2026-04-21 00:15:56.493161","2026-04-26","2026-04-21 00:16:56.335106","-","336.50","336.49"
"MAT-REQ-2026-bb31cf61","Material Request-MAT-REQ-2026-bb31cf61-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - ad93643a","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",194,"","","Failed","2026-05-04 00:19:11.406623","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-bd820d52","Material Request-MAT-REQ-2026-bd820d52-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - e6cc449e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",735,"","","Cancelled","2026-04-21 00:15:50.028262","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-bff35f98","Material Request-MAT-REQ-2026-bff35f98-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 20a530b6","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",258,"","","Failed","2026-05-04 00:19:15.396186","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-c15edf25","Material Request-MAT-REQ-2026-c15edf25-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 0d7ff19f","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",201,"","","Cancelled","2026-04-21 00:15:45.716638","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-c1b0d2db","Material Request-MAT-REQ-2026-c1b0d2db-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 4ff4907b","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",222,"","","Cancelled","2026-04-21 00:15:45.738783","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-c62ef0d8","Material Request-MAT-REQ-2026-c62ef0d8-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 44ee1c54","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",545,"","","Failed","2026-05-04 00:19:06.521695","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-c69de196","Material Request-MAT-REQ-2026-c69de196-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 76cf1963","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",28,"",28,366,"","","In progress","2026-05-04 00:19:18.282823","2026-05-09","2026-05-04 00:26:54.955492","-","24.45","24.32"
"MAT-REQ-2026-c8e698ff","Material Request-MAT-REQ-2026-c8e698ff-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - a4ac01e2","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",291,"","","Cancelled","2026-04-21 00:15:48.527762","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-ceb190b0","Material Request-MAT-REQ-2026-ceb190b0-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 59297070","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",823,"","","Failed","2026-05-04 00:19:04.127134","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-cf7bc26b","Material Request-MAT-REQ-2026-cf7bc26b-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - a5094ce6","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",443,"","","Failed","2026-05-04 00:19:09.417142","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-d196d917","Material Request-MAT-REQ-2026-d196d917-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - c9efc0d4","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,158,"","","Cancelled","2026-04-21 00:15:45.728322","2026-04-26","2026-04-21 12:23:10.294391","-","336.51","324.38"
